rank,zone,n_tickets,w_tickets,lat,lon,sev_mean,junction_share,veh_mean,n_days,n_hours,approved_share,rejected_share,top_violation,top_vehicle,police_station,junction_name,address,peak_hour,peak_dow,persistence,c_volume,c_severity,c_junction,c_vehicle,c_persistence,CIS,tier
13,228_184,1420,1301.5,13.00826350415493,77.55472408112676,0.511338,1.0,0.5253028,125,19,0.3380281690140845,0.11126760563380282,WRONG PARKING,CAR,Malleshwaram,"BTP001 - 10th Cross, Dr. Rajkumar Road","80 Feet Ring Road, Dr Rajkumar Road 17th Cross Junction, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",10,Sunday,0.8166666666666667,0.79432,0.11152369,1.0,0.44783032,0.8318085855031668,63.385677671218566,High
14,207_198,1251,1111.5,12.979705558832933,77.57493310463629,0.542502,1.0,0.5127898,124,17,0.46682653876898483,0.1486810551558753,WRONG PARKING,CAR,Upparpet,BTP057 - Anand Rao Junction,"Subedar Chatram Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",9,Saturday,0.7793333333333334,0.76605564,0.16818549,1.0,0.42414126,0.792399718508093,63.18199492141573,High
15,202_201,2575,2227.9,12.973080058873787,77.57888757681553,0.50681555,1.0,0.37300584,122,16,0.42524271844660194,0.17786407766990292,NO PARKING,SCOOTER,Upparpet,BTP044 - Sagar Theatre Junction,"3rd Cross Road, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",9,Sunday,0.7546666666666666,0.8906204,0.10330107,1.0,0.15950903,0.7663617171006333,63.01294896717561,High
16,222_180,2193,1859.25,12.999695198458218,77.5496225864299,0.50971276,1.0,0.3702143,131,16,0.4021887824897401,0.2029183766529868,WRONG PARKING,SCOOTER,Rajajinagar,BTP027 - Modi Bridge Junction,"10th Cross Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",8,Tuesday,0.7906666666666666,0.8582114,0.108568706,1.0,0.15422426,0.8043631245601689,62.33748771737865,High
17,206_197,848,742.85,12.978458046462265,77.57348851627358,0.5446934,1.0,0.59722877,115,18,0.47287735849056606,0.16391509433962265,WRONG PARKING,CAR,Upparpet,BTP057 - Anand Rao Junction,"Major T Ramachandrappa Road, AT Extension, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",9,Sunday,0.76,0.6939004,0.1721699,1.0,0.5839971,0.7719915552427868,62.15064887552509,High
18,177_286,1373,1227.5,12.93963797074987,77.69569804831653,0.95254916,0.0,0.6002695,83,14,0.43262927895120173,0.1412964311726147,PARKING IN A MAIN ROAD,CAR,HAL Old Airport,No Junction,"Kadubeesanahalli Underpass, Kadubisanahalli Junction, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",8,Thursday,0.5653333333333334,0.783835,0.9137257,0.0,0.5897536,0.5665024630541873,61.83992538582809,High
19,203_177,2926,2463.1,12.974399145933015,77.54527605167463,0.5082707,1.0,0.30982915,106,16,0.4524948735475051,0.20642515379357484,WRONG PARKING,SCOOTER,Vijayanagara,BTP020 - Hosahalli Metro Station,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",4,Tuesday,0.6906666666666667,0.9086031,0.10594676,1.0,0.039905977,0.6988036593947924,61.83687335677853,High
20,192_200,931,781.6,12.95924667056928,77.57725535445756,0.5611708,1.0,0.5532975,108,16,0.3748657357679914,0.21267454350161116,WRONG PARKING,SCOOTER,City Market,BTP104 - Medical College Circle,"Tippu Sultan Palace Road, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",4,Wednesday,0.6986666666666667,0.7030034,0.20212881,1.0,0.5008285,0.7072484166080225,61.73910771375345,High
21,204_198,858,732.75,12.975495482517482,77.57478270675992,0.5437646,1.0,0.5842891,116,16,0.48717948717948717,0.19463869463869463,WRONG PARKING,CAR,Upparpet,BTP045 - Danvanthri Road Junction,"Major T Ramachandrappa Road, Elite Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",8,Saturday,0.7306666666666666,0.6914498,0.17048113,1.0,0.5595002,0.7410274454609429,61.468047359243904,High
22,206_199,1533,1300.05,12.977978251924332,77.57549741585127,0.51412266,1.0,0.42056102,134,16,0.4520547945205479,0.1963470319634703,WRONG PARKING,SCOOTER,Upparpet,BTP045 - Danvanthri Road Junction,"Subedar Chatram Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",10,Saturday,0.8026666666666666,0.7941203,0.11658672,1.0,0.2495382,0.817030260380014,61.37456083710893,High
23,198_198,753,664.35,12.967675171181938,77.57450220916334,0.57735723,1.0,0.5635193,105,15,0.44621513944223107,0.14741035856573706,WRONG PARKING,PASSENGER AUTO,Chamarajpet,"BTP083 - AS Char Street, Mysore Road","AS Char Main Road, Santhusapete, Chickpete, Bengaluru, Karnataka. Pin-560053 (India)",11,Friday,0.6699999999999999,0.67390865,0.23155865,1.0,0.5201799,0.6769880365939479,61.3474474962667,High
24,196_205,1806,1595.7,12.96472662192691,77.58403086949059,0.52048725,1.0,0.36308974,117,17,0.31450719822812845,0.1539313399778516,WRONG PARKING,SCOOTER,Halasuru Gate,"BTP080 - NR Road, SP Road Junction","Pailwan M Krishnappa Road, Shoukath Mohalla, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",10,Tuesday,0.7513333333333334,0.8308261,0.12815869,1.0,0.14073636,0.7628430682617876,61.31867417638346,High
25,205_195,1053,870.6,12.977245766286801,77.57075034776828,0.55465335,1.0,0.5432954,88,17,0.34947768281101615,0.22981956315289648,NO PARKING,PASSENGER AUTO,Chamarajpet,BTP048 - Shanthala Junction,"Rao Bahadur DGT Road, Majestic Circle, Majestic, Bengaluru, Karnataka. Pin-560023 (India)",7,Tuesday,0.6353333333333333,0.7223109,0.19027886,1.0,0.48189297,0.6403940886699507,61.26072374030287,High
26,209_222,1413,1181.25,12.982134720382165,77.60766665612174,0.53998584,1.0,0.4104176,134,13,0.3743807501769285,0.21868365180467092,WRONG PARKING,SCOOTER,Shivajinagar,BTP051 - Safina Plaza Junction,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",11,Sunday,0.7526666666666666,0.77695614,0.16361067,1.0,0.23033515,0.7642505277973258,61.22958998857124,High
27,205_201,1298,1172.6,12.976832355392911,77.57852392149461,0.49318182,1.0,0.49635595,130,16,0.39907550077041604,0.12788906009244994,NO PARKING,CAR,Upparpet,BTP044 - Sagar Theatre Junction,"3rd Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1,Sunday,0.7866666666666666,0.7756397,0.078512475,1.0,0.3930295,0.8001407459535538,61.04190193132394,High
28,208_222,1495,1307.35,12.981057028762542,77.60775899525083,0.5155184,1.0,0.40371907,129,15,0.46220735785953176,0.1665551839464883,NO PARKING,SCOOTER,Shivajinagar,BTP051 - Safina Plaza Junction,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",11,Sunday,0.766,0.7951233,0.11912447,1.0,0.21765384,0.7783251231527094,60.76721330544925,High
29,196_198,661,556.6,12.964769294040424,77.57447134898626,0.60355526,1.0,0.56136155,78,17,0.25416036308623297,0.2087745839636914,WRONG PARKING,CAR,City Market,"BTP083 - AS Char Street, Mysore Road","Mysore Road, Chanda Nagar, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",1,Sunday,0.5953333333333334,0.6422392,0.27919143,1.0,0.516095,0.5981703026038002,60.600811986070454,High
30,206_202,1058,979.55,12.978185834527556,77.57962674589562,0.48015124,1.0,0.5681002,124,16,0.4621928166351607,0.09546313799621928,NO PARKING,CAR,Upparpet,BTP058 - Subbanna Junction,"2nd Main Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1,Sunday,0.7626666666666666,0.74342424,0.054820497,1.0,0.5288523,0.7748064743138634,60.42694863841661,High
31,196_197,267,237.75,12.9648561164794,77.57361732921349,0.72827715,1.0,0.6162172,47,14,0.3970037453183521,0.14606741573033707,PARKING IN A MAIN ROAD,LGV,Chamarajpet,"BTP083 - AS Char Street, Mysore Road","AS Char Main Road, Chanda Nagar, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",0,Sunday,0.42133333333333334,0.49018976,0.50595844,1.0,0.61994505,0.414496833216045,60.150019393671485,High
32,196_201,874,757.6,12.964420699387027,77.57855671329675,0.53770024,1.0,0.49636155,125,16,0.4633867276887872,0.17620137299771166,WRONG PARKING,SCOOTER,City Market,BTP082 - KR Market Junction,"Silver Jubilee Park Road, Dodpete, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",10,Sunday,0.7666666666666666,0.6974201,0.15945503,1.0,0.39304012,0.7790288529204785,60.11676890294497,High
33,220_180,883,786.25,12.997561910637755,77.5496356509039,0.56395245,1.0,0.40518686,114,18,0.32276330690826727,0.14609286523216308,WRONG PARKING,SCOOTER,Vijayanagara,BTP027 - Modi Bridge Junction,"Padmabhushan Dr MC Modi Road, Star Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",8,Wednesday,0.756,0.7040654,0.20718631,1.0,0.2204326,0.7677691766361717,59.70396496478748,High
34,207_222,1422,1183.05,12.97969553347398,77.60718352777778,0.50234884,1.0,0.4139381,120,16,0.4549929676511955,0.2088607594936709,NO PARKING,SCOOTER,Shivajinagar,BTP051 - Safina Plaza Junction,"Main Guard Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",10,Sunday,0.7466666666666666,0.77722883,0.095179774,1.0,0.23700002,0.7579169598874032,59.531673294958054,High
35,207_201,928,857.05,12.979101835910525,77.57855823953312,0.48604524,1.0,0.59528023,112,13,0.5161637931034483,0.0980603448275862,NO PARKING,CAR,Upparpet,BTP058 - Subbanna Junction,"Vajreshwari Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",1,Friday,0.6646666666666667,0.71950233,0.06553687,1.0,0.5803082,0.6713581984517947,59.33766648697652,High
36,209_221,1643,1384.1,12.982175864150944,77.60639463451004,0.5386488,1.0,0.3325685,93,15,0.46682897139379187,0.209373097991479,WRONG PARKING,SCOOTER,Shivajinagar,BTP051 - Safina Plaza Junction,"Hospital Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",10,Sunday,0.622,0.80534184,0.16117966,1.0,0.08295502,0.6263194933145673,59.30920162385645,High
37,206_200,849,785.25,12.977966725206125,77.5773101990577,0.5022968,1.0,0.5348999,126,14,0.45700824499411075,0.10011778563015312,NO PARKING,CAR,Upparpet,BTP058 - Subbanna Junction,"5th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1,Friday,0.7373333333333334,0.7038376,0.09508517,1.0,0.46599904,0.7480647431386349,59.15208318985783,High
38,204_200,1520,1344.95,12.97591640855263,77.57730120072368,0.5092434,1.0,0.33999345,113,16,0.44605263157894737,0.15197368421052632,WRONG PARKING,SCOOTER,Upparpet,BTP040 - Elite Junction,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",9,Saturday,0.7186666666666666,0.8002022,0.10771538,1.0,0.09701157,0.7283603096410978,58.953678285733204,High
39,196_172,1453,1144.3,12.96490857524167,77.53875877037075,0.5440812,1.0,0.36196145,81,16,0.4989676531314522,0.2807983482450103,WRONG PARKING,SCOOTER,Vijayanagara,"BTP016 - 5th Main Road, RPC Layout","Sri Sankasta Hara Ganapati Temple Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)",11,Saturday,0.5906666666666667,0.7712642,0.1710568,1.0,0.13860035,0.593244194229416,58.58911034827403,High
40,188_175,498,421.5,12.95361742639057,77.54275343070033,0.6052611,1.0,0.49325302,90,19,0.4839357429718876,0.20481927710843373,WRONG PARKING,PASSENGER AUTO,Byatarayanapura,"BTP095 - Satellite Bus Stand, Mysore Road","Mysore Road, Satellite Bus Stand Junction, New Timber Yard Layout, Bengaluru, Karnataka. Pin-560026 (India)",10,Saturday,0.6766666666666666,0.59250414,0.28229293,1.0,0.3871552,0.6840253342716397,58.50677469822615,High
41,220_179,915,783.0,12.997470749508196,77.54816648174864,0.54461205,1.0,0.40020764,110,17,0.3846994535519126,0.1923497267759563,WRONG PARKING,SCOOTER,Vijayanagara,BTP205 - Modi Hospital Junction,"Padmabhushan Dr MC Modi Road, Phase 1, Manjunatha Nagar, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",10,Thursday,0.7233333333333334,0.70332384,0.17202196,1.0,0.21100616,0.7332864180154821,58.359809257037654,High
42,175_218,143,134.0,12.936617763636363,77.6017388874126,0.8241259,1.0,0.46370634,68,10,0.3776223776223776,0.08391608391608392,PARKING IN A MAIN ROAD,SCOOTER,Mico Layout,BTP126 - Dairy Circle,"Dairy Circle Flyover Underpass, Dairy Circle, Adugodi, Bengaluru, Karnataka. Pin-560029 (India)",5,Saturday,0.43866666666666665,0.38798824,0.6802289,1.0,0.33121884,0.4327938071780436,58.22543632178806,High
43,197_197,169,158.35,12.965827229585798,77.57371407633136,0.77485204,1.0,0.53698224,37,13,0.42011834319526625,0.07692307692307693,PARKING IN A MAIN ROAD,PASSENGER AUTO,Chamarajpet,"BTP083 - AS Char Street, Mysore Road","AS Char Main Road, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",8,Sunday,0.3646666666666667,0.41771397,0.59064007,1.0,0.46994123,0.35467980295566504,57.632200294747726,High
44,208_215,1614,1524.9,12.981126482094174,77.59843729516729,0.5086865,1.0,0.31184018,87,13,0.41759603469640644,0.07063197026022305,WRONG PARKING,SCOOTER,Shivajinagar,BTP042 - Minsk Square Junction (CTO),"Cunningham Road, Mantri Altiue Apartment, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",4,Thursday,0.5646666666666667,0.82269603,0.10670276,1.0,0.043713164,0.565798733286418,57.55704927161194,High
45,192_199,561,465.0,12.959355860606061,77.57605510516935,0.55240643,1.0,0.57832444,82,16,0.3939393939393939,0.2281639928698752,WRONG PARKING,LGV,City Market,BTP104 - Medical College Circle,"Tippu Sultan Palace Road, Bangalore Medical College & Research Institute, Bengaluru, Karnataka. Pin-560002 (India)",13,Friday,0.5946666666666667,0.6100706,0.18619356,1.0,0.5482083,0.597466572836031,57.46405847087491,High
46,204_201,1205,1102.25,12.975811967883818,77.57846760614107,0.48078835,1.0,0.4068299,112,15,0.38340248962655604,0.11369294605809128,NO PARKING,SCOOTER,Upparpet,BTP044 - Sagar Theatre Junction,"3rd Main Road, Sri Kanakadasa Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",9,Saturday,0.698,0.764559,0.055978887,1.0,0.22354311,0.7065446868402533,57.459915138644746,High
47,208_198,514,455.5,12.98053731536965,77.57472720836576,0.55398834,1.0,0.54110897,94,17,0.4280155642023346,0.1517509727626459,WRONG PARKING,PASSENGER AUTO,Upparpet,BTP057 - Anand Rao Junction,"Subedar Chatram Road, Anand Rao Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",3,Sunday,0.6593333333333333,0.60637844,0.18906976,1.0,0.47775376,0.6657283603096411,57.38481201126615,High
48,205_198,473,415.25,12.97705825179704,77.57445612198731,0.55010575,1.0,0.5299789,106,19,0.4164904862579281,0.16279069767441862,WRONG PARKING,PASSENGER AUTO,Upparpet,BTP045 - Danvanthri Road Junction,"Major T Ramachandrappa Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",9,Saturday,0.7406666666666666,0.5898327,0.1820105,1.0,0.4566828,0.7515833919774806,57.27706859065227,High
49,216_208,1381,1181.8,12.991492606502378,77.58854263715341,0.55170166,1.0,0.3079218,71,13,0.6531498913830558,0.18971759594496743,WRONG PARKING,SCOOTER,High ground,BTP032 - Windsor Circle,"Palace Road, Kalpana Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",3,Saturday,0.5006666666666666,0.77703947,0.18491217,1.0,0.036295075,0.49824067558057694,57.16454312008694,High
50,206_201,759,680.1,12.978409343083003,77.57855194071146,0.4884717,1.0,0.59492755,96,12,0.36231884057971014,0.1370223978919631,NO PARKING,CAR,Upparpet,BTP058 - Subbanna Junction,"5th Cross Road, Jakkarayana Kere, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",1,Friday,0.5840000000000001,0.67810255,0.06994859,1.0,0.5796405,0.5862068965517242,57.140777170144275,High
51,219_266,1382,1126.25,12.996151222268276,77.66843172216531,0.8312374,0.0,0.55440664,121,17,0.2945007235890014,0.2467438494934877,PARKING IN A MAIN ROAD,SCOOTER,Mahadevapura,No Junction,"MBT Road, Royal Heritage, Pai Layout, Mahadevapura, Bengaluru, Karnataka. Pin-560016 (India)",10,Saturday,0.7673333333333334,0.76841664,0.69315886,0.0,0.50292826,0.7797325826882479,57.05016148805535,High
52,204_203,398,342.8,12.97570243517588,77.58145270326632,0.5755025,1.0,0.64685935,65,15,0.5402010050251256,0.17587939698492464,WRONG PARKING,CAR,Upparpet,BTP038 - Mysore Bank Junction,"Y Ramachandra Road, Maharani College Junction, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",4,Wednesday,0.51,0.5555543,0.22818644,1.0,0.67795527,0.5080928923293455,57.00954121510635,High
53,228_179,791,728.45,13.008041912515804,77.5485129460177,0.54450065,1.0,0.38375476,97,16,0.347661188369153,0.10240202275600506,WRONG PARKING,SCOOTER,Rajajinagar,BTP023 - Mahalaxmi Layout Entrance,"1st Main Road, Block 1R, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",10,Tuesday,0.6546666666666666,0.69039625,0.17181942,1.0,0.17985837,0.6608022519352569,56.86596150785937,High
54,180_196,776,672.95,12.943195446235649,77.57111642840668,0.56082475,1.0,0.34996134,110,15,0.3788659793814433,0.17396907216494845,WRONG PARKING,SCOOTER,Basavanagudi,BTP108 - Tagore Park Junction,"Sri DV Gundappa Road, Shopper Junction, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",11,Sunday,0.69,0.6762108,0.2014996,1.0,0.11588231,0.6980999296270232,56.84469211634241,High
55,196_202,465,384.75,12.96448149311828,77.57995571698925,0.53978497,1.0,0.57929033,97,15,0.38924731182795697,0.23010752688172043,WRONG PARKING,CAR,Halasuru Gate,BTP082 - KR Market Junction,"Silver Jubilee Park Road, Dodpete, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",10,Sunday,0.6379999999999999,0.5761919,0.16324545,1.0,0.55003685,0.6432090077410274,56.18031044663005,High
56,208_219,509,439.25,12.980737264636542,77.60326394027504,0.5625737,1.0,0.45538312,92,18,0.43418467583497056,0.18271119842829076,WRONG PARKING,SCOOTER,Shivajinagar,BTP211 - Central Street Junction,"Infantry Road, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",10,Thursday,0.6679999999999999,0.5998812,0.20467944,1.0,0.31546172,0.6748768472906403,56.01621330701953,High
57,197_198,284,256.25,12.966180378169014,77.5741008612676,0.5994718,1.0,0.6039789,77,15,0.3415492957746479,0.13028169014084506,WRONG PARKING,CAR,Chamarajpet,"BTP083 - AS Char Street, Mysore Road","AS Char Main Road, Sultanpete, Bengaluru, Karnataka. Pin-560053 (India)",3,Sunday,0.558,0.5035679,0.27176696,1.0,0.596776,0.5587614356087264,55.974424360798416,High
58,211_218,424,340.0,12.98447922735849,77.60230834386792,0.5986321,0.9976415094339622,0.52247643,68,16,0.3584905660377358,0.2641509433962264,WRONG PARKING,PASSENGER AUTO,Shivajinagar,BTP211 - Central Street Junction,"Meenakshi Koil Street, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",8,Sunday,0.5386666666666666,0.55408835,0.27024022,0.9976415094339622,0.44247955,0.5383532723434201,55.91025550549724,High
59,187_174,561,462.75,12.952468752648432,77.54116058271528,0.5737077,1.0,0.4422638,79,17,0.41532976827094475,0.23351158645276293,NO PARKING,SCOOTER,Byatarayanapura,BTP096 - Gali Anjaneya Temple,"Mysore Road, BR Pura, Bengaluru, Karnataka. Pin-560026 (India)",1,Sunday,0.5993333333333333,0.60920304,0.22492313,1.0,0.2906249,0.6023926812104152,55.87536137818472,High
60,170_223,78,60.0,12.930039614102565,77.60962204102564,0.91474354,0.8076923076923077,0.6355128,38,12,0.5512820512820513,0.3076923076923077,PARKING IN A MAIN ROAD,CAR,Mico Layout,BTP140 - Madiwala Check Post,"Thavarekere Main Road, Prestige Lexington Towers, Sadduguntepalya, Bengaluru, Karnataka. Pin-560029 (India)",2,Thursday,0.352,0.24558696,0.8449882,0.8076923076923077,0.6564746,0.3413089373680506,55.851931351625254,High
61,207_200,682,618.1,12.979336259824047,77.57730591246334,0.4905425,1.0,0.5105719,102,15,0.4706744868035191,0.12316715542521994,NO PARKING,CAR,Upparpet,BTP058 - Subbanna Junction,"Vajreshwari Road, R Subanna Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",1,Monday,0.658,0.66099393,0.073713705,1.0,0.41994244,0.6643209007741028,55.8202637705813,High
62,221_182,704,640.25,12.998398310653409,77.55263453167613,0.5470881,1.0,0.3675852,95,16,0.36079545454545453,0.12073863636363637,WRONG PARKING,SCOOTER,Malleshwaram,BTP008 - Navarang Theatre,"80 Feet Ring Road, Navarang Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",8,Sunday,0.6466666666666666,0.6672952,0.17652385,1.0,0.14924698,0.6523574947220268,55.784471838575776,High
63,193_200,470,409.25,12.96093076893617,77.57763074787235,0.5597873,1.0,0.48887235,99,14,0.3680851063829787,0.1723404255319149,WRONG PARKING,SCOOTER,City Market,BTP082 - KR Market Junction,"Kalasipalyam Main Road, Mothinagar, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",7,Tuesday,0.6293333333333334,0.58722997,0.19961327,1.0,0.3788619,0.6340605207600283,55.67260410717934,High
