zone,n_tickets,lat,lon,junction_name,police_station,address,context,generator_kw
130_252,33,12.87531808181818,77.64879279090908,No Junction,Hulimavu,"Hosur Road, Singasandra Industrial Estate, Begur, Bengaluru, Karnataka. Pin-560068 (India)",Mixed / Other,
130_268,50,12.875800174,77.67120565399999,No Junction,Electronic City,"Amrutha College Road, Rayasandra Circle, Rayasandra, Bengaluru, Karnataka. Pin-560100 (India)",Education,college
131_213,99,12.87663256060606,77.59541531919191,No Junction,Hulimavu,"Shri Ramalingeshwara Cave Temple Road, Hulimavu, Bengaluru, Karnataka. Pin-560076 (India)",Religious,temple
131_250,36,12.877239730555555,77.64679768333333,No Junction,Hulimavu,"Hosur Road, Singasandra, Bengaluru, Karnataka. Pin-560068 (India)",Mixed / Other,
133_177,32,12.879791209375,77.54537915,No Junction,Thalagattapura,"80 Feet Road, 4th H Block, Raghuvanahalli, Bengaluru, Karnataka. Pin-560109 (India)",Residential,block
133_249,36,12.879961491666666,77.64524510833333,No Junction,Hulimavu,"Hosur Road, Zed Enclave, HAL Layout, Bengaluru, Karnataka. Pin-560068 (India)",Residential,layout
134_213,52,12.881742311538462,77.59578963076923,No Junction,J.P. Nagar,"Bannerghatta Main Road, Vijay Shree Layout, Hulimavu, Bengaluru, Karnataka. Pin-560076 (India)",Commercial street,main road
134_249,95,12.880998056842104,77.64504394210526,No Junction,Electronic City,"Hosur Road, Zed Enclave, HAL Layout, Bengaluru, Karnataka. Pin-560068 (India)",Residential,layout
136_215,39,12.884186894046735,77.59809075598179,No Junction,Hulimavu,"BDA 80 Feet Road, Windchimes, Arakere, Bengaluru, Karnataka. Pin-560076 (India)",Mixed / Other,
136_246,73,12.884151543442682,77.64125578752156,No Junction,Hulimavu,"1st Main Road, Ramaiah Reddy Layout, Singasandra, Bengaluru, Karnataka. Pin-560068 (India)",Commercial street,main road
136_247,82,12.884038137804879,77.64223005731706,No Junction,Hulimavu,"1st Main Road, Ramaiah Reddy Layout, Singasandra, Bengaluru, Karnataka. Pin-560068 (India)",Commercial street,main road
136_327,33,12.883624835134299,77.7524880303962,No Junction,No Police Station,"Varthur Main Road, Dommansandra Circle, Dommasandra Anekal Taluka, Bengaluru, Karnataka. Pin-562125 (India)",Commercial street,main road
137_247,143,12.885260158062481,77.64202890342585,No Junction,Hulimavu,"Housur Main Road, Ramaiah Reddy Layout, Singasandra, Bengaluru, Karnataka. Pin-560068 (India)",Commercial street,main road
138_246,119,12.886876410351617,77.64095867682653,No Junction,Hulimavu,"Chikka Begur Main Road, Polisappa Layout, Singasandra, Bengaluru, Karnataka. Pin-560068 (India)",Commercial street,main road
139_189,191,12.88825659580453,77.56228898131093,No Junction,Thalagattapura,"Konanakunte Main Road, Gopalan Jewels, Siddanna Layout, Bikaspura, Bengaluru, Karnataka. Pin-560062 (India)",Commercial street,main road
139_246,67,12.887762290680433,77.64072313762821,No Junction,Hulimavu,"Hosur Road, Polisappa Layout, Singasandra, Bengaluru, Karnataka. Pin-560068 (India)",Residential,layout
140_190,111,12.889238974774774,77.56336357027027,No Junction,Thalagattapura,"Konanakunte Main Road, Konanakunte Junction, Konanakunte, Bengaluru, Karnataka. Pin-560062 (India)",Commercial street,main road
140_245,70,12.889551824401215,77.63959865696516,No Junction,HSR Layout,"Hosur Road, AM Industrial Estate, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",Mixed / Other,
141_244,72,12.890814551920638,77.63846405645315,No Junction,Hulimavu,"Hosur Road, Ozone Manay Tech Park, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",Mixed / Other,
141_245,89,12.890635593839113,77.63930247278317,No Junction,HSR Layout,"Hosur Road, Krishna Reddy Industrial Area, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",Mixed / Other,
142_244,294,12.89205215416521,77.63803359320296,No Junction,HSR Layout,"Hosur Road, Ozone Manay Tech Park, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",Mixed / Other,
142_245,31,12.891711612903226,77.63886385806452,No Junction,HSR Layout,"Hosur Road, Krishna Reddy Industrial Area, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",Mixed / Other,
143_193,46,12.893827880434781,77.56778359565217,No Junction,K.S. Layout,"Bikasipura Main Road, LMC Industrial Layout, Konanakunte, Bengaluru, Karnataka. Pin-560062 (India)",Commercial street,main road
143_243,331,12.893222992760933,77.63705257202417,No Junction,Hulimavu,"7th Cross Road, Chikka Biddappa Layout, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",Commercial street,cross
144_216,130,12.894909700000001,77.59915556692307,No Junction,J.P. Nagar,"Bannerghatta Main Road, Indian Institute of Management, Bengaluru, Karnataka. Pin-560076 (India)",Education,institute
144_258,54,12.89452896851852,77.6572997074074,No Junction,HSR Layout,"Haralur Road, Birla Circle, Haralur, Bengaluru, Karnataka. Pin-560035 (India)",Commercial street,circle
144_271,71,12.895200671830986,77.67582547605635,No Junction,Electronic City,"Amrita College Road, Bhuvi Colony, Kasavanahalli, Bengaluru, Karnataka. Pin-560035 (India)",Education,college
145_303,123,12.896623227642277,77.72001952601626,No Junction,Whitefield,"Sarjapura Main Road, Kodathi Gate, Kodathi, Bengaluru, Karnataka. Pin-560035 (India)",Commercial street,main road
146_242,58,12.89728259219786,77.6350552744541,No Junction,HSR Layout,"Hosur Road, Narasimha Reddy Layout, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",Residential,layout
146_303,34,12.896790182352943,77.71997430294118,No Junction,Whitefield,"Sarjapura Main Road, Kodathi Gate, Kodathi, Bengaluru, Karnataka. Pin-560035 (India)",Commercial street,main road
147_241,31,12.898643406180556,77.63401273469765,No Junction,Madiwala,"Hosur Road, Vajpayee Nagar, Garvebhavi Palya, Bengaluru, Karnataka. Pin-560068 (India)",Residential,nagar
147_271,262,12.898938106490082,77.67542622337739,No Junction,Bellandur,"Amrutha College Road, Azalea, Owners Court Layout, Kasavanahalli, Bengaluru, Karnataka. Pin-560035 (India)",Education,college
148_206,51,12.900271984313726,77.58586097843137,No Junction,J.P. Nagar,"24th Main Road, Sri SN Venkatesh Reddy Circle, JP Nagar Phase 6, Bengaluru, Karnataka. Pin-560078 (India)",Commercial street,main road
148_271,243,12.899918619753088,77.67544746584362,No Junction,Bellandur,"Amrutha College Road, Kristal Jasper Villa, Haralur, Bengaluru, Karnataka. Pin-560035 (India)",Education,college
149_212,56,12.901474275,77.59380956964286,No Junction,J.P. Nagar,"Rose Garden Road, Kalyani Vista Phase 2, JP Nagar Phase 5, Bengaluru, Karnataka. Pin-560078 (India)",Residential,nagar
149_260,44,12.901531675000001,77.66047246136363,No Junction,Bellandur,"Haralur Road, Madduramma Junction, Ambalipura, Bengaluru, Karnataka. Pin-560102 (India)",Mixed / Other,
149_271,82,12.90129971707317,77.6756204,No Junction,Bellandur,"Amrutha College Road, Confident Phoenix, Haralur, Bengaluru, Karnataka. Pin-560035 (India)",Education,college
151_206,30,12.904397886666667,77.58570710333333,"BTP221 - 15th Cross, 24th Main, JP Nagar",J.P. Nagar,"24th Main Road, Shamanna Garden, JP Nagar Phase 5, Bengaluru, Karnataka. Pin-560078 (India)",Commercial street,main road
151_247,41,12.903556473170733,77.64204813170731,No Junction,HSR Layout,"27th Cross Road, Ramachandra Reddy Layout, Mangammanapalya, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",Commercial street,cross
151_292,117,12.90372660569636,77.70418403770093,No Junction,Bellandur,"Chikkabellanduru Road, Ram Circle, Hadosiddapura, Bengaluru, Karnataka. Pin-560035 (India)",Commercial street,circle
152_175,58,12.905831393533147,77.54252665340516,No Junction,K.S. Layout,"Dr Vishnuvardhan Main Road, Uttarahalli Circle, Uttarahalli, Bengaluru, Karnataka. Pin-560061 (India)",Commercial street,main road
152_206,34,12.9053469,77.5856287382353,"BTP221 - 15th Cross, 24th Main, JP Nagar",J.P. Nagar,"24th Main Road, Shamanna Garden, JP Nagar Phase 5, Bengaluru, Karnataka. Pin-560078 (India)",Commercial street,main road
152_238,162,12.905661731920283,77.6299908723519,No Junction,HSR Layout,"Hosur Road, BKL Colony, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",Residential,colony
153_177,81,12.906850397378141,77.54579100962708,No Junction,K.S. Layout,"Subramanyapura Main Road, Vallabha Nagar, Uttarahalli, Bengaluru, Karnataka. Pin-560061 (India)",Commercial street,main road
153_178,45,12.906878110660536,77.54648308558625,No Junction,K.S. Layout,"Subramanyapura Main Road, Vallabha Nagar, Uttarahalli, Bengaluru, Karnataka. Pin-560061 (India)",Commercial street,main road
153_197,37,12.906541361446797,77.573312977478,"BTP159 - JP Nagar Metro, ORR",J.P. Nagar,"Dr Rajkumar Puniya Bhoomi Road, Jaraganahalli Circle, Ilyas Nagar, Bengaluru, Karnataka. Pin-560078 (India)",Metro / Transit hub,metro
153_210,34,12.906337276470587,77.59088700294117,BTP222 - Delmia Circle,J.P. Nagar,"Dr Rajkumar Puniya Bhoomi Road, Narasimhaiah Garden, JP Nagar Phase 5, Bengaluru, Karnataka. Pin-560078 (India)",Commercial street,circle
153_217,105,12.907190740952382,77.60066203428572,BTP130 - GD Mara Junction,Mico Layout,"Dr Rajkumar Puniya Bhoomi Road, JD Mara Junction, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",Residential,layout
153_237,226,12.906869646272643,77.62846448664607,No Junction,Madiwala,"Begur Main Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",Commercial street,main road
153_238,383,12.906554288250653,77.62962364308095,No Junction,HSR Layout,"Hosapalya Main Road, BKL Colony, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",Commercial street,main road
153_239,310,12.90657643451613,77.63125540096775,No Junction,HSR Layout,"Hosapalya Main Road, S Nazir Sab Layout, HSR Layout, Bengaluru, Karnataka. Pin-560068 (India)",Commercial street,main road
153_240,65,12.906732303076922,77.63242915538461,No Junction,HSR Layout,"Hosapalya Main Road, S Nazir Sab Layout, HSR Layout, Bengaluru, Karnataka. Pin-560068 (India)",Commercial street,main road
153_286,109,12.906981766010654,77.69615629241612,No Junction,Bellandur,"Sarjapura Main Road, Doddakannelli Circle, Doddakannelli, Bengaluru, Karnataka. Pin-560035 (India)",Commercial street,main road
153_287,75,12.90660759595796,77.69736596160465,No Junction,Bellandur,"Sarjapura Main Road, Nimritha Kethana Eternal Accolade, Janatha Colony, Doddakannelli, Bengaluru, Karnataka. Pin-560035 (India)",Commercial street,main road
154_168,48,12.907917220614015,77.53281429018558,No Junction,K.S. Layout,"4th Main Road, Subramanyapura, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560061, India",Commercial street,main road
154_217,388,12.908261288917526,77.60055459020619,BTP130 - GD Mara Junction,Mico Layout,"1st Cross Road, Sarakki Industrial Layout, JP Nagar Phase 3, Bengaluru, Karnataka. Pin-560078 (India)",Commercial street,cross
154_218,97,12.908308992783505,77.60191420824742,BTP130 - GD Mara Junction,Mico Layout,"4th Cross Road, Kaverappa Industrial Area, NS Palya, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",Commercial street,cross
154_237,48,12.908038402468279,77.62851686590433,No Junction,HSR Layout,"Hosur Road, Bommanahalli Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",Commercial street,circle
155_154,31,12.909757741935485,77.51337037741936,No Junction,Kengeri,"Sri Sri Sri Tiruchi Mahaswamiji Road, Subhash Chandrabose Nagar, BEML Layout Stage 5, Rajarajeshwari Nagar, Bengaluru, Karnataka. Pin-560098 (India)",Residential,layout
155_180,69,12.909558557273815,77.54991659998265,No Junction,K.S. Layout,"Subramanyapura Main Road, VVR Supreme Residency, Chikkalsandra, Bengaluru, Karnataka. Pin-560061 (India)",Commercial street,main road
155_249,65,12.909518656923078,77.64458647692308,No Junction,HSR Layout,"19th Main Road, Sector 2, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",Commercial street,main road
156_130,33,12.911181213064001,77.48029131893382,No Junction,Kengeri,"Kengeri Magadi Road, Police Quarters, Stage 1, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)",Metro / Transit hub,satellite
156_182,33,12.911382124638601,77.55202334387967,No Junction,K.S. Layout,"Subramanyapura Main Road, Komarla Brigade Residency, Chikkalsandra, Bengaluru, Karnataka. Pin-560061 (India)",Commercial street,main road
156_197,148,12.91107646554054,77.5732081,"BTP117 - 9th Cross, Kanakapura Road",J.P. Nagar,"9th Cross Road, SNN Raj Spiritua, Umarbagh Layout, Banashankari Stage 2, Bengaluru, Karnataka. Pin-560078 (India)",Commercial street,cross
156_201,45,12.910954260164617,77.57840626666666,BTP196 - Sarakki Main Road,J.P. Nagar,"9th Cross Road, IG Circle, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)",Commercial street,main road
156_206,59,12.910635010169491,77.58526903728814,"BTP197 - 9th Cross, 24th Main, JP Nagar",J.P. Nagar,"9th Cross Road, Mayura Circle, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)",Commercial street,circle
156_235,34,12.911292808823529,77.62597413235294,No Junction,Madiwala,"3rd Main Road, Krimson Square, Muneshwara Nagar, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",Commercial street,main road
156_236,51,12.910793721568629,77.62671326470588,No Junction,HSR Layout,"Hosur Road, Muneshwara Nagar, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",Residential,layout
156_244,367,12.911255741961853,77.63807733269755,No Junction,HSR Layout,"14th Main Road, Dr BR Ambedkar Layout, Sector 3, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",Commercial street,main road
157_206,104,12.912233982692308,77.58570395865385,"BTP197 - 9th Cross, 24th Main, JP Nagar",J.P. Nagar,"5th Cross Road, Manjunath Colony, JP Nagar Phase 2, Bengaluru, Karnataka. Pin-560078 (India)",Commercial street,cross
157_235,221,12.91218447713935,77.62576937882353,No Junction,HSR Layout,"Hosur Road, Krimson Square, Muneshwara Nagar, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",Residential,layout
157_240,109,12.912386961701811,77.63302541330935,No Junction,HSR Layout,"17th Cross Road, Sector 7, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",Commercial street,cross
157_241,318,12.912425931114392,77.63373625104232,No Junction,HSR Layout,"17th Cross Road, Sector 7, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",Commercial street,cross
157_242,609,12.912505152599449,77.63537807705082,No Junction,HSR Layout,"17th Cross Road, The Metropolitan Cooperative Housing Society, Sector 4, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",Metro / Transit hub,metro
157_243,57,12.912343276995806,77.63634042799617,No Junction,HSR Layout,"17th Cross Road, The Metropolitan Cooperative Housing Society, Sector 4, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",Metro / Transit hub,metro
157_244,394,12.912058584771572,77.63812912258882,No Junction,HSR Layout,"14th Main Road, The Metropolitan Cooperative Housing Society, Sector 4, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",Metro / Transit hub,metro
157_249,77,12.911957664935064,77.64454713376622,No Junction,HSR Layout,"18th Cross Road, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",Commercial street,cross
157_254,60,12.912007125,77.651647225,No Junction,HSR Layout,"17th Cross Road, Parangipalya, Sector 2, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",Commercial street,cross
157_275,116,12.912533261206896,77.6808322198276,No Junction,Bellandur,"Sarjapura Main Road, Jain Heights, Kaikondrahalli, Bengaluru, Karnataka. Pin-560035 (India)",Commercial street,main road
157_276,36,12.911886538888888,77.68207121666666,No Junction,Bellandur,"Sarjapura Main Road, Salarpuria Sanctity, Kaikondrahalli, Bengaluru, Karnataka. Pin-560035 (India)",Commercial street,main road
158_206,52,12.913697542307691,77.58581056346154,"BTP177 - Aurobindo Circle, ORR",J.P. Nagar,"24th Main Road, Manjunath Colony, JP Nagar Phase 2, Bengaluru, Karnataka. Pin-560078 (India)",Commercial street,main road
158_219,40,12.9134941375,77.6039497525,No Junction,Mico Layout,"7th Cross Road, MICO Layout, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",Commercial street,cross
158_220,159,12.91357185283019,77.60496243710692,No Junction,Mico Layout,"7th Cross Road, MICO Layout, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",Commercial street,cross
158_221,169,12.913668222485207,77.6062872295858,No Junction,Mico Layout,"7th Cross Road, MICO Layout, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",Commercial street,cross
158_222,136,12.913751393382354,77.60745210661764,"BTP163 - 16th Main Road, BTM Layout",Mico Layout,"7th Cross Road, MICO Employees House Building Cooperative Society, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",Commercial street,main road
158_223,95,12.913875862105263,77.60889241052631,"BTP163 - 16th Main Road, BTM Layout",Mico Layout,"7th Cross Road, MICO Employees House Building Cooperative Society, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",Commercial street,main road
158_235,103,12.913096012189289,77.62553207784426,No Junction,HSR Layout,"Hosur Road, Krimson Square, Muneshwara Nagar, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",Residential,layout
158_242,45,12.913158044444446,77.63525659777778,No Junction,HSR Layout,"9th Main Road, The Metropolitan Cooperative Housing Society, Sector 4, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",Metro / Transit hub,metro
158_273,136,12.913757771385036,77.678071196959,No Junction,Bellandur,"Sarjapura Main Road, Kaikondrahalli, Bengaluru, Karnataka. Pin-560035 (India)",Commercial street,main road
158_274,34,12.91323819565453,77.67947864498943,No Junction,Bellandur,"Sarjapura Main Road, Kaikondrahalli, Bengaluru, Karnataka. Pin-560035 (India)",Commercial street,main road
159_197,39,12.91523177948718,77.5735073974359,"BTP117 - 9th Cross, Kanakapura Road",K.S. Layout,"Konanakunte Main Road, Prestige Brooklyn Heights, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560070 (India)",Commercial street,main road
159_206,43,12.91488075116279,77.58580265813954,"BTP177 - Aurobindo Circle, ORR",J.P. Nagar,"24th Main Road, Marenahalli, JP Nagar Phase 2, Bengaluru, Karnataka. Pin-560078 (India)",Commercial street,main road
160_197,93,12.916581959180764,77.57337472188877,"BTP115 - Sahasra Hospital, Jayanagar",K.S. Layout,"Subramanyapura Road, Banashankari Bus Stand Junction, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560070 (India)",Metro / Transit hub,bus stand
160_206,32,12.916218321875,77.585810340625,"BTP177 - Aurobindo Circle, ORR",J.P. Nagar,"24th Main Road, Sri Aurobindo Circle, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",Commercial street,main road
160_213,45,12.916823155555555,77.59541908222222,"BTP179 - 9th Block, 28th Main, Jayanagar",Jayanagara,"South End Main Road, East End Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",Commercial street,main road
160_214,71,12.916860063380282,77.5965707084507,"BTP202 - East End Main Road, Jayanagar",Jayanagara,"South End Main Road, East End Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",Commercial street,main road
160_244,74,12.916285106756757,77.63813836891892,No Junction,HSR Layout,"14th Main Road, Sector 5, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",Commercial street,main road
160_254,85,12.916319732941178,77.65172675411765,No Junction,HSR Layout,"27th Main Road, Sector 1, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",Commercial street,main road
160_269,75,12.916547995999998,77.67318255466667,No Junction,Bellandur,"Sarjapura Main Road, Divyasree Elan Homes, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",Commercial street,main road
160_270,36,12.916651446265027,77.67347628750001,No Junction,Bellandur,"Sarjapura Main Road, Srinivasa Classic, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",Commercial street,main road
161_144,45,12.917115915555557,77.50016924222223,No Junction,Kengeri,"Global City Tech Park Road, Mylasandra Village, Mylasandara, Bengaluru, Karnataka. Pin-560059 (India)",Mixed / Other,
161_197,280,12.917311807881836,77.57342676281762,"BTP115 - Sahasra Hospital, Jayanagar",Banashankari,"Konanakunte Main Road, Banashankari Bus Stand Junction, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560070 (India)",Metro / Transit hub,bus stand
161_198,83,12.917471850167455,77.5741752928209,"BTP115 - Sahasra Hospital, Jayanagar",Jayanagara,"45th Cross Road, Banashankari Bus Stand Junction, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560070 (India)",Metro / Transit hub,bus stand
161_200,95,12.91749644105263,77.57777239473684,"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar",Jayanagara,"2nd Main Road, Sangam Circle, Jayanagar, Bengaluru, Karnataka. Pin-560070 (India)",Commercial street,main road
161_201,60,12.917156053333334,77.57835315166668,"BTP176 - Rajalakshmi Kalyana Mantapa, JP Nagar",Jayanagara,"46th Cross Road, Sangam Circle, Jayanagar, Bengaluru, Karnataka. Pin-560070 (India)",Commercial street,circle
161_213,37,12.917095935135135,77.59515845945947,"BTP179 - 9th Block, 28th Main, Jayanagar",Jayanagara,"28th Main Road, East End Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",Commercial street,main road
161_214,57,12.917483647368421,77.59686864736842,"BTP202 - East End Main Road, Jayanagar",Jayanagara,"East End A Main Road, Dr BR Ambedkar Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",Commercial street,main road
161_254,43,12.917778323255815,77.65174111395349,No Junction,HSR Layout,"27th Main Road, Sector 1, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",Commercial street,main road
